t_index	term	tf-idf
1	10	0.7889941168672432
2	12	0.7151316638784445
3	3	1.0059903636891874
4	400	3.2161007100342998
5	50	1.0182248201061992
6	52	1.6969914383539308
7	agenc	0.8462895208216755
8	aliv	0.8810516270808875
9	anjar	6.118242357528412
10	anoth	1.0209948377969649
11	arab	1.8850082123361613
12	armi	0.7340627497295134
13	associ	0.9026935520197303
14	away	0.7234437737192194
15	bed	1.48311161840885
16	block	0.9638671577836063
17	bodi	0.43735412784817473
18	book	1.5342641408562312
19	build	0.4245169031430025
20	buri	0.8435144667669034
21	came	0.5508634026756929
22	carri	0.6502480348116046
23	cataclysm	3.0394141191761372
24	cave	2.5622928644564746
25	chant	1.448349512149638
26	cheer	1.4059456635965506
27	chief	0.6096618391737292
28	children	4.10630757788386
29	chip	2.1363241321841935
30	citi	0.9330850339513139
31	claim	0.7606605182233082
32	concret	1.2612628687924936
33	corner	1.4266302624564016
34	correct	1.5770161212771812
35	coupl	1.3404441148401183
36	crash	0.9026935520197303
37	crowd	0.8089651977978632
38	crumpl	2.5622928644564746
39	day	0.42536108365708714
40	death	0.5452595251576944
41	debri	1.323410775541338
42	die	0.5891650108567761
43	dig	2.4266786329506216
44	disast	0.9940911403894798
45	dog	2.6808882296802365
46	dont	0.5066597401836394
47	drop	2.50816856833074
48	earlier	0.6872316010647747
49	earthquak	1.2488815424106383
50	execut	1.0571428861365688
51	exhaust	1.5770161212771812
52	face	0.6853056800287363
53	fashion	2.1943160791618803
54	final	0.5594071762189865
55	flatten	1.6776862831585442
56	food	1.0571428861365688
57	forward	1.1881557704570618
58	free	0.8871257747930806
59	freed	1.6414741105040995
60	giggl	2.738384123512156
61	girl	2.942424790218284
62	glori	2.5622928644564746
63	god	1.3862016054007935
64	ground	0.9221428235203728
65	gujarat	1.0571428861365688
66	heap	1.9602328731285124
67	heard	1.0019876212355134
68	held	0.7090003458269464
69	hi	-2.242155004676492
70	hindu	1.893286083497899
71	holi	1.659202877464531
72	home	0.30301761689949475
73	hour	2.181348732779774
74	identifi	0.9712282574299755
75	immedi	0.8633228601204559
76	import	0.7405610427664305
77	india	2.0217784028557126
78	islam	0.8380169948556856
79	jai	3.0394141191761372
80	keshubhai	2.4373541278481747
81	know	0.35188515796150277
82	known	0.7769630294457077
83	labor	1.6080503550171499
84	languag	1.659202877464531
85	later	1.265747877484364
86	leader	0.2386970408937521
87	led	0.8810516270808875
88	life	0.7471580478196611
89	like	0.24214657834542067
90	littl	0.7192678330650831
91	locat	2.630276499150696
92	look	0.5315582474803062
93	maganbhai	4.680888229680237
94	main	0.8840780817110754
95	makeshift	1.8089651977978631
96	man	1.0933074602985993
97	mani	0.2641678594359007
98	march	2.180048225062449
99	mark	1.039414119176137
100	masonri	1.998021434017912
101	meanwhil	1.1473195164856567
102	mound	1.9602328731285124
103	mouth	2.4373541278481747
104	narrow	1.5079352021338819
105	natur	1.3492180391476234
106	night	0.5637429308517075
107	offic	0.22118822556218168
108	old	1.0437789245785871
109	onli	0.9114456584338716
110	overwrought	3.0394141191761372
111	parad	1.5480524253418644
112	parti	0.34393244268593964
113	patel	1.738384123512156
114	peopl	-0.08476393629853797
115	perish	2.0851716097368125
116	perk	3.0394141191761372
117	piec	1.3404441148401183
118	plastic	1.5079352021338819
119	play	0.5551142798293514
120	polit	0.34568717025249024
121	potent	2.5622928644564746
122	pouch	2.738384123512156
123	pray	1.624440771205319
124	press	0.8932860834978991
125	probabl	1.1643528557844371
126	pull	2.4423145123508228
127	quak	0.638013578394593
128	ram	3.786572166995798
129	reach	0.7151316638784445
130	refer	1.1760912590556813
131	refus	0.8901950065207572
132	rel	1.0616905138872894
133	releas	0.6930611447254985
134	relief	0.9749561299492187
135	religion	2.0394141191761372
136	remov	2.1052847698197845
137	report	0.1725363048386383
138	republ	1.0949314470259686
139	rescu	1.8683208355135685
140	rescuer	2.2199903869236888
141	rest	1.0223807798773568
142	role	1.0949314470259686
143	rubbl	2.827512318504242
144	said	-2.589603341324719
145	say	-0.19270879078337033
146	scratch	2.738384123512156
147	sheet	3.248881542410638
148	shout	1.5079352021338819
149	sign	0.8166976480285539
150	silenc	1.659202877464531
151	siyaram	3.0394141191761372
152	slab	1.738384123512156
153	slowli	1.5770161212771812
154	small	0.5695921031979742
155	smile	1.4266302624564016
156	sniffer	1.863322860120456
157	soldier	3.0244515618903502
158	someth	0.8691524037811797
159	speak	0.8901950065207572
160	state	-0.15454485884304975
161	street	1.1630644448842897
162	stretcher	1.863322860120456
163	struck	2.5670785270072916
164	sunday	0.4700402095610912
165	surviv	0.9459924340139021
166	survivor	0.8166976480285539
167	swallow	2.3404441148401185
168	symbol	1.459630522559327
169	teacher	3.5213210364466163
170	thi	-0.400271203328672
171	time	0.09345341559856858
172	told	0.4494645178504294
173	torso	3.0394141191761372
174	total	1.1309291002974875
175	town	0.8038856722685882
176	tradit	1.3070203593531686
177	tragedi	1.23323414519225
178	twist	1.717194824442218
179	unabl	1.659202877464531
180	unscath	2.3404441148401185
181	unsettl	2.2612628687924934
182	unstabl	2.0851716097368125
183	use	0.33184394307820075
184	visibl	1.4373541278481747
185	voic	4.187884328069849
186	wa	-7.428681057038149
187	warrior	2.3404441148401185
188	water	1.568283228145662
189	weak	1.5342641408562312
190	went	0.7606605182233082
191	western	0.8141048374502743
192	worker	0.6853056800287363
193	year	0.008005654924512983
